timestamp,slipId,sport,event,betType,combinedOdds,stakeUnits,legLabel,market,subject,line,side,odds,closingOdds,clv,evidenceType,evidenceStatus,evidenceScore,reason,outcome
2026-06-18T06:39:21.436Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T09:40:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Andrew Brayshaw 20+ Disposals,player_disposals,Andrew Brayshaw,,20+ Disposals,1.14,,,player-form,supported,4.43,"Averages 25.8 vs 20 line (buffer 5.8), cleared in 5/5.",
2026-06-18T06:39:21.436Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T09:40:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Jordan Clark 15+ Disposals,player_disposals,Jordan Clark,,15+ Disposals,1.04,,,player-form,supported,3.8,"Averages 20.4 vs 15 line (buffer 5.4), cleared in 5/5.",
2026-06-18T06:39:21.436Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T09:40:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Karl Worner 15+ Disposals,player_disposals,Karl Worner,,15+ Disposals,1.25,,,player-form,supported,3.53,"Averages 19.6 vs 15 line (buffer 4.6), cleared in 3/5.",
2026-06-18T09:41:21.042Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T10:10:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Andrew Brayshaw 20+ Disposals,player_disposals,Andrew Brayshaw,,20+ Disposals,1.14,,,player-form,supported,4.43,"Averages 25.8 vs 20 line (buffer 5.8), cleared in 5/5.",
2026-06-18T09:41:21.042Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T10:10:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Jordan Clark 15+ Disposals,player_disposals,Jordan Clark,,15+ Disposals,1.04,,,player-form,supported,3.8,"Averages 20.4 vs 15 line (buffer 5.4), cleared in 5/5.",
2026-06-18T09:41:21.042Z,auto-generator:afl:snapshot:afl:fremantle vs geelong cats:2026-06-18T10:10:25.000Z,afl,Fremantle vs Geelong Cats,sgm,1.48,1,Karl Worner 15+ Disposals,player_disposals,Karl Worner,,15+ Disposals,1.25,,,player-form,supported,3.53,"Averages 19.6 vs 15 line (buffer 4.6), cleared in 3/5.",
2026-06-18T23:00:33.523Z,auto-generator:afl:snapshot:afl:gold coast suns vs hawthorn:2026-06-19T09:40:56.000Z,afl,Gold Coast SUNS vs Hawthorn,sgm,2.62,1,Hawthorn H2H,h2h,Hawthorn,,Hawthorn,1.71,,,team-sgm,supported,3,Hawthorn is the market favourite (h2h 1.71).,
2026-06-18T23:00:33.523Z,auto-generator:afl:snapshot:afl:gold coast suns vs hawthorn:2026-06-19T09:40:56.000Z,afl,Gold Coast SUNS vs Hawthorn,sgm,2.62,1,Hawthorn +44.5,spreads,Hawthorn,44.5,Hawthorn,1.05,,,team-sgm,supported,3,Near-certain anchor: Hawthorn +44.5 covers in ~92% of modelled outcomes.,
2026-06-18T23:00:33.523Z,auto-generator:afl:snapshot:afl:gold coast suns vs hawthorn:2026-06-19T09:40:56.000Z,afl,Gold Coast SUNS vs Hawthorn,sgm,2.62,1,Cam Mackenzie 20+ Disposals,player_disposals,Cam Mackenzie,,20+ Disposals,1.46,,,player-form,supported,3.63,"Averages 23.4 vs 20 line (buffer 3.4), cleared in 5/5.",
2026-06-18T23:00:33.939Z,auto-generator:nrl:snapshot:nrl:newcastle knights vs st george illawarra dragons:2026-06-19T10:00:00.000Z,nrl,Newcastle Knights vs St George Illawarra Dragons,sgm,2.43,1,Newcastle Knights H2H,h2h,Newcastle Knights,,Newcastle Knights,1.23,,,team-sgm,supported,3,Newcastle Knights is the market favourite (h2h 1.23).,
2026-06-18T23:00:33.939Z,auto-generator:nrl:snapshot:nrl:newcastle knights vs st george illawarra dragons:2026-06-19T10:00:00.000Z,nrl,Newcastle Knights vs St George Illawarra Dragons,sgm,2.43,1,Newcastle Knights +7.5,spreads,Newcastle Knights,7.5,Newcastle Knights,1.04,,,team-sgm,supported,3,Near-certain anchor: Newcastle Knights +7.5 covers in ~93% of modelled outcomes.,
2026-06-18T23:00:33.939Z,auto-generator:nrl:snapshot:nrl:newcastle knights vs st george illawarra dragons:2026-06-19T10:00:00.000Z,nrl,Newcastle Knights vs St George Illawarra Dragons,sgm,2.43,1,Over 48.5,totals,Over,48.5,Over,1.9,,,team-sgm,supported,3,Over 48.5 total.,
2026-06-19T23:00:21.773Z,auto-generator:nrl:snapshot:nrl:wests tigers vs dolphins:2026-06-20T05:00:00.000Z,nrl,Wests Tigers vs Dolphins,sgm,2.16,1,Dolphins H2H,h2h,Dolphins,,Dolphins,1.53,,,team-sgm,supported,3,Dolphins is the market favourite (h2h 1.53).,
2026-06-19T23:00:21.773Z,auto-generator:nrl:snapshot:nrl:wests tigers vs dolphins:2026-06-20T05:00:00.000Z,nrl,Wests Tigers vs Dolphins,sgm,2.16,1,Over 47.5,totals,Over,47.5,Over,1.41,,,team-sgm,supported,3,Near-certain Over 47.5 (~68% — modelled safe total).,
2026-06-19T23:00:22.166Z,auto-generator:nrl:snapshot:nrl:gold coast titans vs penrith panthers:2026-06-20T07:30:00.000Z,nrl,Gold Coast Titans vs Penrith Panthers,sgm,2.1,1,Penrith Panthers H2H,h2h,Penrith Panthers,,Penrith Panthers,1.25,,,team-sgm,supported,3,Penrith Panthers is the market favourite (h2h 1.25).,
2026-06-19T23:00:22.166Z,auto-generator:nrl:snapshot:nrl:gold coast titans vs penrith panthers:2026-06-20T07:30:00.000Z,nrl,Gold Coast Titans vs Penrith Panthers,sgm,2.1,1,Over 44.5,totals,Over,44.5,Over,1.41,,,team-sgm,supported,3,Near-certain Over 44.5 (~68% — modelled safe total).,
2026-06-19T23:00:22.166Z,auto-generator:nrl:snapshot:nrl:gold coast titans vs penrith panthers:2026-06-20T07:30:00.000Z,nrl,Gold Coast Titans vs Penrith Panthers,sgm,2.1,1,Jayden Campbell 4+ Points,player_points,Jayden Campbell,,4+ Points,1.19,,,player-form,supported,4.3,"Averages 7.6 vs 4 line (buffer 3.6), cleared in 4/5.",
2026-06-19T23:00:22.743Z,auto-generator:nrl:snapshot:nrl:canterbury bulldogs vs manly sea eagles:2026-06-20T09:35:00.000Z,nrl,Canterbury Bulldogs vs Manly Sea Eagles,sgm,2.02,1,Manly Sea Eagles H2H,h2h,Manly Sea Eagles,,Manly Sea Eagles,1.38,,,team-sgm,supported,3,Manly Sea Eagles is the market favourite (h2h 1.38).,
